admin3Pcod,admin3Name,admin2Pcod,admin1Pcod,admin0Pcod,area,agg_level,agg_title,year,flood_pop,flood_pop_s,wrsi_75,wrsi_90,wrsi_75_long,wrsi_90_long,pop_wp,pop_dens_wp,city_mtr,conf_count,conf_pop_buffer,conf_share,pov_2021_22_std,number_poor_2021_22_std,ipc_p_2019_2023_std,pti_need,pti_access
NER001001001,Aderbissinat,NER001001,NER001,NE,51332.55400592949,admin3,Commune,NA,-0.2920050794850644,0.23311150747453455,NA,-0.13736667687737403,-0.26333589651341377,-0.587734612428191,-0.7948115658605265,-0.2934869306062935,8.077463237896219e-4,-0.11666786564039211,NA,NA,-1.2678732437842424,-1.2326649208662268,-0.38334379324789464,-0.991687870710895,-0.08628082370871427
NER001002001,Arlit,NER001002,NER001,NE,1246.8218942479323,admin3,Commune,NA,-0.7264634223580243,-0.8680571558797344,NA,NA,NA,-0.587734612428191,0.27573464181382346,0.6952061437338696,-1.0828558188609465,0.22597498265993923,NA,NA,-1.2678732437842424,-1.2326649208662268,0.13239745382940443,-1.267486949709868,0.7539140185202656
NER001002002,Dannet,NER001002,NER001,NE,12673.27941935485,admin3,Commune,NA,-0.8283543369856317,-0.6593167574897043,NA,NA,NA,-0.587734612428191,-1.285466168874242,-0.21687086937520003,-0.2521723687899367,-0.36141275728348593,NA,NA,-1.2678732437842424,-1.2326649208662268,0.13239745382940443,-1.169147842204503,0.1927008236897822
NER001002003,Gougaram,NER001002,NER001,NE,47277.77059238689,admin3,Commune,NA,-0.7204532454018449,0.26774919022350313,NA,NA,NA,-0.587734612428191,-1.397006798825214,-0.48628602004734733,0.04150796020670261,-0.2635148006262484,NA,NA,-1.2678732437842424,-1.2326649208662268,0.13239745382940443,-0.7324003865136904,-0.1283715287224399
NER001003001,Bilma,NER001003,NER001,NE,41407.78280536454,admin3,Commune,NA,-0.9046613744299946,-1.0309189846622604,NA,NA,NA,-0.587734612428191,-1.539875408934168,-0.9075796943104706,4.651518379390877,-0.31246377895486716,NA,NA,-1.2678732437842424,-1.2326649208662268,0.1878118679849534,-1.318106201851146,-2.5485112599968636
NER001003002,Dirkou,NER001003,NER001,NE,45273.661336708974,admin3,Commune,NA,-0.9046613744299946,-1.0309189846622604,NA,NA,NA,-0.587734612428191,-1.3946055381097135,-0.6401060191810242,4.8933927237476444,-0.31246377895486716,NA,NA,-1.2678732437842424,-1.2326649208662268,0.1878118679849534,-1.318106201851146,-2.5360765868221233
NER001003003,Djado,NER001003,NER001,NE,156619.3670018225,admin3,Commune,NA,-0.9046613744299946,-1.0309189846622604,NA,NA,NA,-0.587734612428191,-1.6250323565896083,-1.167716722227579,7.963961660894213,0.274923960988558,NA,NA,-1.2678732437842424,-1.2326649208662268,0.1878118679849534,-1.318106201851146,-4.56918295530573
NER001003004,Fachi,NER001003,NER001,NE,35570.8135218601,admin3,Commune,NA,-0.9046613744299946,-1.0309189846622604,NA,NA,NA,-0.587734612428191,-1.5927602480858787,-0.7398110217715389,3.202702309005792,-0.36141275728348593,NA,NA,-1.2678732437842424,-1.2326649208662268,0.1878118679849534,-1.318106201851146,-1.7394913809542132
NER001004001,Iferouane,NER001004,NER001,NE,120212.95836745873,admin3,Commune,NA,-0.7033413959055805,0.04333320626247225,NA,NA,NA,-0.587734612428191,-1.3169797317916299,-0.9648576934748476,1.1008685968650735,0.1280770260027017,NA,NA,-1.2678732437842424,-1.2326649208662268,0.23724851864374918,-0.788728282448174,-1.06562267156983
NER001004002,Timia,NER001004,NER001,NE,19290.99438951737,admin3,Commune,NA,-0.8291290096241154,-0.7422789705536357,NA,NA,NA,-0.587734612428191,-1.1865099441469484,-0.835522027982508,0.6495790742529475,-0.36141275728348593,NA,NA,-1.2678732437842424,-1.2326649208662268,0.23724851864374918,-1.158835846241791,-0.5458227577829894
